Time,T,sensor,depth,flags
1972-12-12T03:05:47.000Z,290.11199,TG12A,185,2
1972-12-12T03:05:47.000Z,276.10799,TG12B,233,2
1972-12-12T03:12:04.000Z,284.69995,TC12,14,0
1972-12-12T03:12:04.000Z,289.0,TC13,66,0
1972-12-12T03:13:06.000Z,285.16048,TG12A,185,2
1972-12-12T03:13:06.000Z,277.29948,TG12B,233,2
1972-12-12T03:19:22.000Z,287.0,TC13,66,0
1972-12-12T03:19:22.000Z,283.89996,TC12,14,0
1972-12-12T03:20:20.000Z,277.73749,TG12B,233,2
1972-12-12T03:20:20.000Z,281.36249,TG12A,185,2
1972-12-12T03:26:37.000Z,282.29999,TC12,14,0
1972-12-12T03:26:37.000Z,286.5,TC13,66,0
1972-12-12T03:27:34.000Z,277.314,TG12B,233,0
1972-12-12T03:27:34.000Z,278.686,TG12A,185,0
1972-12-12T03:33:51.000Z,284.5,TC13,66,0
1972-12-12T03:33:51.000Z,280.19995,TC12,14,0
1972-12-12T03:54:36.000Z,281.39996,TC13,66,0
1972-12-12T03:54:36.000Z,278.79999,TC12,14,0
1972-12-12T03:56:31.000Z,273.15845,TG12B,233,0
1972-12-12T03:56:31.000Z,273.74145,TG12A,185,0
1972-12-12T04:02:47.000Z,278.5,TC12,14,0
1972-12-12T04:02:47.000Z,281.79999,TC13,66,0
1972-12-12T04:03:49.000Z,272.41796,TG12B,233,0
1972-12-12T04:03:49.000Z,272.62196,TG12A,185,0
1972-12-12T04:10:06.000Z,277.69995,TC12,14,0
1972-12-12T04:10:06.000Z,279.79999,TC13,66,0
1972-12-12T04:11:03.000Z,271.7005,TG12B,233,0
1972-12-12T04:11:03.000Z,271.7995,TG12A,185,0
1972-12-12T04:17:20.000Z,277.29999,TC12,14,0
1972-12-12T04:17:20.000Z,279.09998,TC13,66,0
1972-12-12T04:18:17.000Z,270.98349,TG12B,233,0
1972-12-12T04:18:17.000Z,270.99649,TG12A,185,0
1972-12-12T04:24:34.000Z,278.5,TC13,66,0
1972-12-12T04:24:34.000Z,276.79999,TC12,14,0
1972-12-12T04:25:31.000Z,270.28272,TG12A,185,0
1972-12-12T04:25:31.000Z,270.27722,TG12B,233,0
1972-12-12T04:31:48.000Z,276.19995,TC12,14,0
1972-12-12T04:31:48.000Z,277.89996,TC13,66,0
1972-12-12T04:39:02.000Z,278.0,TC12,14,0
