Time,T,sensor,depth,flags
1971-08-02T08:01:34.000Z,253.475,TG12A,91,0
1971-08-02T08:59:36.000Z,253.5935,TG12B,139,0
1971-08-02T08:59:36.000Z,253.4665,TG12A,91,0
1971-08-02T09:57:33.000Z,253.41849,TG12A,91,0
1971-08-02T09:57:33.000Z,253.56149,TG12B,139,0
1971-08-02T10:55:27.000Z,253.53949,TG12B,139,0
1971-08-02T10:55:27.000Z,253.38049,TG12A,91,0
1971-08-02T11:53:24.000Z,253.54699,TG12B,139,0
1971-08-02T11:53:24.000Z,253.37299,TG12A,91,0
1971-08-02T12:51:26.000Z,253.36599,TG12A,91,0
1971-08-02T12:51:26.000Z,253.55399,TG12B,139,0
1971-08-02T14:09:52.000Z,253.02548,TR11B,73,2
1971-08-02T14:09:52.000Z,253.05448,TR11A,45,2
1971-08-02T14:19:54.000Z,253.43598,TR12A,101,0
1971-08-02T14:19:54.000Z,253.46398,TR12B,129,0
1971-08-02T14:30:54.000Z,253.48497,TG12B,139,0
1971-08-02T14:30:54.000Z,253.27497,TG12A,91,0
1971-08-02T15:28:55.000Z,253.24899,TG12A,91,0
1971-08-02T15:28:55.000Z,253.47099,TG12B,139,0
1971-08-02T16:26:57.000Z,253.27298,TG12A,91,0
1971-08-02T16:26:57.000Z,253.50698,TG12B,139,0
1971-08-02T17:24:54.000Z,253.22698,TG12A,91,0
1971-08-02T17:24:54.000Z,253.47298,TG12B,139,0
1971-08-02T18:22:44.000Z,253.44848,TG12B,139,0
1971-08-02T18:22:44.000Z,253.19148,TG12A,91,0
1971-08-02T18:51:45.000Z,253.21848,TG12A,91,0
1971-08-02T18:51:45.000Z,253.48148,TG12B,139,0
1971-08-02T18:59:07.000Z,253.21848,TG12A,91,0
1971-08-02T18:59:07.000Z,253.48148,TG12B,139,0
1971-08-02T19:57:04.000Z,253.15298,TG12A,91,0
1971-08-02T19:57:04.000Z,253.42698,TG12B,139,0
1971-08-02T20:54:54.000Z,253.43198,TG12B,139,0
1971-08-02T20:54:54.000Z,253.14798,TG12A,91,0
1971-08-02T21:52:55.000Z,253.43698,TG12B,139,0
1971-08-02T21:52:55.000Z,253.14298,TG12A,91,0
1971-08-02T22:50:57.000Z,253.44148,TG12B,139,0
1971-08-02T22:50:57.000Z,253.13848,TG12A,91,0
1971-08-02T23:48:54.000Z,253.0945,TG12A,91,0
1971-08-02T23:48:54.000Z,253.4055,TG12B,139,0
1971-08-03T00:46:44.000Z,253.4105,TG12B,139,0
1971-08-03T00:46:44.000Z,253.0895,TG12A,91,0
1971-08-03T01:36:22.000Z,252.90898,TR11A,45,2
1971-08-03T01:36:22.000Z,252.73098,TR11B,73,2
1971-08-03T02:18:33.000Z,253.3145,TR12B,129,0
1971-08-03T02:18:33.000Z,253.1855,TR12A,101,0
1971-08-03T02:36:26.000Z,253.082,TG12A,91,0
