Time,T,sensor,depth,flags
1971-08-02T09:58:27.000Z,255.23795,TG22B,97,0
1971-08-02T10:56:20.000Z,256.59348,TG22A,49,0
1971-08-02T10:56:20.000Z,255.04648,TG22B,97,0
1971-08-02T11:54:17.000Z,256.17899,TG22A,49,0
1971-08-02T11:54:17.000Z,254.74099,TG22B,97,0
1971-08-02T12:52:19.000Z,254.53999,TG22B,97,0
1971-08-02T12:52:19.000Z,255.87999,TG22A,49,0
1971-08-02T13:53:13.000Z,255.05748,TR22A,59,0
1971-08-02T13:53:13.000Z,254.78248,TR22B,87,0
1971-08-02T14:31:47.000Z,255.44398,TG22A,49,0
1971-08-02T14:31:47.000Z,254.25598,TG22B,97,0
1971-08-02T15:29:49.000Z,254.11498,TG22B,97,0
1971-08-02T15:29:49.000Z,255.22498,TG22A,49,0
1971-08-02T16:27:50.000Z,254.981,TG22A,49,0
1971-08-02T16:27:50.000Z,254.019,TG22B,97,0
1971-08-02T17:25:48.000Z,254.77548,TG22A,49,0
1971-08-02T17:25:48.000Z,253.80448,TG22B,97,0
1971-08-02T18:23:37.000Z,254.55398,TG22A,49,0
1971-08-02T18:23:37.000Z,253.64598,TG22B,97,0
1971-08-02T18:52:38.000Z,254.50998,TG22A,49,0
1971-08-02T18:52:38.000Z,253.62998,TG22B,97,0
1971-08-02T19:00:00.000Z,254.50598,TG22A,49,0
1971-08-02T19:00:00.000Z,253.63398,TG22B,97,0
1971-08-02T19:57:58.000Z,254.32848,TG22A,49,0
1971-08-02T19:57:58.000Z,253.51148,TG22B,97,0
1971-08-02T20:55:47.000Z,254.17298,TG22A,49,0
1971-08-02T20:55:47.000Z,253.40698,TG22B,97,0
1971-08-02T21:53:49.000Z,254.07947,TG22A,49,0
1971-08-02T21:53:49.000Z,253.36047,TG22B,97,0
1971-08-02T22:51:50.000Z,253.87698,TG22A,49,0
1971-08-02T22:51:50.000Z,253.20298,TG22B,97,0
1971-08-02T23:49:48.000Z,253.77649,TG22A,49,0
1971-08-02T23:49:48.000Z,253.14349,TG22B,97,0
1971-08-03T00:47:37.000Z,253.69699,TG22A,49,0
1971-08-03T00:47:37.000Z,253.10299,TG22B,97,0
1971-08-03T01:21:53.000Z,253.19199,TR22B,87,0
1971-08-03T01:21:53.000Z,253.40799,TR22A,59,0
1971-08-03T02:37:19.000Z,253.45347,TG22A,49,0
1971-08-03T02:37:19.000Z,252.92647,TG22B,97,0
1971-08-03T03:35:17.000Z,252.873,TG22B,97,0
1971-08-03T03:35:17.000Z,253.367,TG22A,49,0
1971-08-03T03:56:59.000Z,253.32149,TG22A,49,0
1971-08-03T03:56:59.000Z,252.83849,TG22B,97,0
1971-08-03T04:54:57.000Z,252.82349,TG22B,97,0
1971-08-03T04:54:57.000Z,253.27649,TG22A,49,0
1971-08-03T05:52:50.000Z,252.72747,TG22B,97,0
1971-08-03T05:52:50.000Z,253.15247,TG22A,49,0
1971-08-03T06:50:48.000Z,253.0695,TG22A,49,0
1971-08-03T06:50:48.000Z,252.6705,TG22B,97,0
1971-08-03T07:48:49.000Z,253.057,TG22A,49,0
1971-08-03T07:48:49.000Z,252.683,TG22B,97,0
1971-08-03T08:46:47.000Z,252.97499,TG22A,49,0
1971-08-03T08:46:47.000Z,252.62499,TG22B,97,0
1971-08-03T09:44:40.000Z,252.89348,TG22A,49,0
1971-08-03T09:44:40.000Z,252.56648,TG22B,97,0
1971-08-03T10:42:38.000Z,252.81347,TG22A,49,0
1971-08-03T10:42:38.000Z,252.50647,TG22B,97,0
1971-08-03T11:40:39.000Z,252.77297,TG22A,49,0
1971-08-03T11:40:39.000Z,252.48697,TG22B,97,0
1971-08-03T12:38:37.000Z,252.426,TG22B,97,0
1971-08-03T12:38:37.000Z,252.694,TG22A,49,0
1971-08-03T13:36:30.000Z,252.685,TG22A,49,0
1971-08-03T13:36:30.000Z,252.435,TG22B,97,0
1971-08-03T14:27:18.000Z,252.63699,TG22A,49,0
1971-08-03T14:27:18.000Z,252.40299,TG22B,97,0
1971-08-03T14:59:43.000Z,252.45272,TR22A,59,0
1971-08-03T14:59:43.000Z,252.42722,TR22B,87,0
1971-08-03T15:38:50.000Z,252.55698,TG22A,49,0
1971-08-03T15:38:50.000Z,252.34298,TG22B,97,0
1971-08-03T16:36:48.000Z,252.51898,TG22A,49,0
1971-08-03T16:36:48.000Z,252.32098,TG22B,97,0
1971-08-03T17:34:37.000Z,252.402,TG22A,49,0
1971-08-03T17:34:37.000Z,252.218,TG22B,97,0
1971-08-03T18:32:39.000Z,252.225,TG22B,97,0
1971-08-03T18:32:39.000Z,252.395,TG22A,49,0
1971-08-03T18:47:07.000Z,252.227,TG22B,97,0
1971-08-03T18:47:07.000Z,252.393,TG22A,49,0
1971-08-03T18:54:29.000Z,252.1975,TG22B,97,0
1971-08-03T18:54:29.000Z,252.3625,TG22A,49,0
1971-08-03T19:52:27.000Z,252.204,TG22B,97,0
1971-08-03T19:52:27.000Z,252.356,TG22A,49,0
1971-08-03T20:50:20.000Z,252.3495,TG22A,49,0
1971-08-03T20:50:20.000Z,252.2105,TG22B,97,0
1971-08-03T21:48:18.000Z,252.30349,TG22A,49,0
1971-08-03T21:48:18.000Z,252.17649,TG22B,97,0
1971-08-03T22:46:19.000Z,252.22748,TG22A,49,0
1971-08-03T22:46:19.000Z,252.11248,TG22B,97,0
1971-08-03T23:44:17.000Z,252.16199,TG22A,49,0
1971-08-03T23:44:17.000Z,252.05799,TG22B,97,0
1971-08-04T00:42:10.000Z,252.15699,TG22A,49,0
1971-08-04T00:42:10.000Z,252.06299,TG22B,97,0
1971-08-04T02:10:43.000Z,251.94398,TR22A,59,0
1971-08-04T02:10:43.000Z,252.01598,TR22B,87,0
1971-08-04T03:00:37.000Z,252.10548,TG22A,49,0
1971-08-04T03:00:37.000Z,252.03448,TG22B,97,0
1971-08-04T03:49:38.000Z,251.9685,TG22B,97,0
1971-08-04T03:49:38.000Z,252.0315,TG22A,49,0
1971-08-04T04:47:40.000Z,251.99299,TG22B,97,0
1971-08-04T04:47:40.000Z,252.04699,TG22A,49,0
1971-08-04T05:23:50.000Z,251.98449,TG22A,49,0
1971-08-04T05:23:50.000Z,251.93549,TG22B,97,0
1971-08-04T06:21:48.000Z,251.95049,TG22A,49,0
1971-08-04T06:21:48.000Z,251.90949,TG22B,97,0
1971-08-04T07:19:50.000Z,251.91649,TG22A,49,0
1971-08-04T07:19:50.000Z,251.88349,TG22B,97,0
1971-08-04T08:03:06.000Z,251.91399,TG22A,49,0
1971-08-04T08:03:06.000Z,251.88599,TG22B,97,0
1971-08-04T09:01:08.000Z,251.91049,TG22A,49,0
1971-08-04T09:01:08.000Z,251.88949,TG22B,97,0
1971-08-04T09:59:10.000Z,251.85299,TG22B,97,0
1971-08-04T09:59:10.000Z,251.86699,TG22A,49,0
1971-08-04T10:57:07.000Z,251.79649,TG22B,97,0
1971-08-04T10:57:07.000Z,251.80349,TG22A,49,0
1971-08-04T11:54:56.000Z,251.78948,TG22B,97,2
1971-08-04T11:54:56.000Z,251.79048,TG22A,49,2
1971-08-04T12:52:58.000Z,251.83249,TG22B,97,0
1971-08-04T12:52:58.000Z,251.82749,TG22A,49,0
1971-08-04T13:51:00.000Z,251.78448,TG22A,49,0
1971-08-04T13:51:00.000Z,251.79548,TG22B,97,0
1971-08-04T14:48:57.000Z,251.76798,TG22B,97,0
1971-08-04T14:48:57.000Z,251.75198,TG22A,49,0
1971-08-04T15:46:46.000Z,251.74898,TG22A,49,0
1971-08-04T15:46:46.000Z,251.77098,TG22B,97,0
1971-08-04T16:44:48.000Z,251.74648,TG22A,49,0
1971-08-04T16:44:48.000Z,251.77348,TG22B,97,0
1971-08-04T17:42:50.000Z,251.74598,TG22B,97,0
1971-08-04T17:42:50.000Z,251.71398,TG22A,49,0
1971-08-04T18:40:47.000Z,251.71198,TG22A,49,0
1971-08-04T18:40:47.000Z,251.74798,TG22B,97,0
1971-08-04T18:55:20.000Z,251.74898,TG22B,97,0
1971-08-04T18:55:20.000Z,251.71098,TG22A,49,0
1971-08-04T19:53:17.000Z,251.71097,TG22B,97,0
1971-08-04T19:53:17.000Z,251.66897,TG22A,49,0
1971-08-04T20:51:06.000Z,251.68297,TG22B,97,0
1971-08-04T20:51:06.000Z,251.63697,TG22A,49,0
1971-08-04T21:34:40.000Z,251.68447,TG22B,97,0
1971-08-04T21:34:40.000Z,251.63547,TG22A,49,0
1971-08-04T22:32:37.000Z,251.67649,TG22B,97,0
1971-08-04T22:32:37.000Z,251.62349,TG22A,49,0
1971-08-04T23:30:26.000Z,251.5915,TG22A,49,0
1971-08-04T23:30:26.000Z,251.6485,TG22B,97,0
1971-08-05T00:28:28.000Z,251.5895,TG22A,49,0
1971-08-05T00:28:28.000Z,251.6505,TG22B,97,0
1971-08-05T01:26:30.000Z,251.588,TG22A,49,0
1971-08-05T01:26:30.000Z,251.652,TG22B,97,0
1971-08-05T02:39:00.000Z,251.5945,TG22B,97,0
1971-08-05T02:39:00.000Z,251.5255,TG22A,49,0
1971-08-05T03:36:57.000Z,251.524,TG22A,49,0
1971-08-05T03:36:57.000Z,251.596,TG22B,97,0
1971-08-05T04:06:02.000Z,251.36099,TR22A,59,0
1971-08-05T04:06:02.000Z,251.55899,TR22B,87,0
1971-08-05T04:38:28.000Z,251.523,TG22A,49,0
1971-08-05T04:38:28.000Z,251.597,TG22B,97,0
1971-08-05T05:36:29.000Z,251.45099,TG22A,49,0
1971-08-05T05:36:29.000Z,251.52899,TG22B,97,0
1971-08-05T06:34:27.000Z,251.52,TG22A,49,0
1971-08-05T06:34:27.000Z,251.6,TG22B,97,0
1971-08-05T07:32:20.000Z,251.6015,TG22B,97,0
1971-08-05T07:32:20.000Z,251.5185,TG22A,49,0
1971-08-05T08:30:18.000Z,251.47699,TG22A,49,0
1971-08-05T08:30:18.000Z,251.56299,TG22B,97,0
1971-08-05T09:13:47.000Z,251.56349,TG22B,97,0
1971-08-05T09:13:47.000Z,251.47649,TG22A,49,0
1971-08-05T10:47:59.000Z,251.56549,TG22B,97,0
1971-08-05T10:47:59.000Z,251.47449,TG22A,49,0
1971-08-05T11:45:57.000Z,251.44349,TG22A,49,0
1971-08-05T11:45:57.000Z,251.53649,TG22B,97,0
1971-08-05T12:43:50.000Z,251.44249,TG22A,49,0
1971-08-05T12:43:50.000Z,251.53749,TG22B,97,0
1971-08-05T13:41:48.000Z,251.50849,TG22B,97,0
1971-08-05T13:41:48.000Z,251.41149,TG22A,49,0
1971-08-05T14:39:49.000Z,251.53949,TG22B,97,0
1971-08-05T14:39:49.000Z,251.44049,TG22A,49,0
1971-08-05T15:37:47.000Z,251.49998,TG22B,97,0
1971-08-05T15:37:47.000Z,251.39998,TG22A,49,0
1971-08-05T16:35:40.000Z,251.33848,TG22A,49,0
1971-08-05T16:35:40.000Z,251.44148,TG22B,97,0
1971-08-05T17:33:38.000Z,251.36798,TG22A,49,0
1971-08-05T17:33:38.000Z,251.47198,TG22B,97,0
1971-08-05T18:31:39.000Z,251.44248,TG22B,97,0
1971-08-05T18:31:39.000Z,251.33748,TG22A,49,0
1971-08-05T18:53:18.000Z,251.44298,TG22B,97,0
1971-08-05T18:53:18.000Z,251.33698,TG22A,49,0
1971-08-05T19:51:19.000Z,251.44348,TG22B,97,0
1971-08-05T19:51:19.000Z,251.33648,TG22A,49,0
1971-08-05T20:49:17.000Z,251.33598,TG22A,49,0
1971-08-05T20:49:17.000Z,251.44398,TG22B,97,0
1971-08-05T21:47:18.000Z,251.33498,TG22A,49,0
1971-08-05T21:47:18.000Z,251.44498,TG22B,97,0
1971-08-05T22:45:08.000Z,251.47548,TG22B,97,0
1971-08-05T22:45:08.000Z,251.36448,TG22A,49,0
1971-08-05T23:43:09.000Z,251.41599,TG22B,97,0
1971-08-05T23:43:09.000Z,251.30399,TG22A,49,0
1971-08-06T00:41:07.000Z,251.30349,TG22A,49,0
1971-08-06T00:41:07.000Z,251.41649,TG22B,97,0
1971-08-06T01:39:08.000Z,251.29298,TG22A,49,0
1971-08-06T01:39:08.000Z,251.40698,TG22B,97,0
1971-08-06T02:36:58.000Z,251.27299,TG22A,49,0
1971-08-06T02:36:58.000Z,251.38699,TG22B,97,0
1971-08-06T03:34:59.000Z,251.37748,TG22B,97,0
1971-08-06T03:34:59.000Z,251.26248,TG22A,49,0
1971-08-06T04:38:41.000Z,251.05649,TR22A,59,0
1971-08-06T04:38:41.000Z,251.30349,TR22B,87,0
1971-08-06T05:17:19.000Z,251.30199,TG22A,49,0
1971-08-06T05:17:19.000Z,251.41799,TG22B,97,0
1971-08-06T06:15:17.000Z,251.37848,TG22B,97,0
1971-08-06T06:15:17.000Z,251.26148,TG22A,49,0
1971-08-06T07:13:18.000Z,251.38849,TG22B,97,0
1971-08-06T07:13:18.000Z,251.27149,TG22A,49,0
1971-08-06T08:11:08.000Z,251.23098,TG22A,49,0
1971-08-06T08:11:08.000Z,251.34898,TG22B,97,0
1971-08-06T09:09:09.000Z,251.26098,TG22A,49,0
1971-08-06T09:09:09.000Z,251.37898,TG22B,97,0
1971-08-06T10:07:07.000Z,251.34898,TG22B,97,0
1971-08-06T10:07:07.000Z,251.23098,TG22A,49,0
1971-08-06T10:36:08.000Z,251.38899,TG22B,97,0
1971-08-06T10:36:08.000Z,251.27099,TG22A,49,0
1971-08-06T10:50:40.000Z,251.309,TG22B,97,0
1971-08-06T10:50:40.000Z,251.191,TG22A,49,0
1971-08-06T11:48:38.000Z,251.34898,TG22B,97,0
1971-08-06T11:48:38.000Z,251.23098,TG22A,49,0
1971-08-06T12:46:27.000Z,251.34948,TG22B,97,0
1971-08-06T12:46:27.000Z,251.23048,TG22A,49,0
1971-08-06T13:44:28.000Z,251.3395,TG22B,97,0
1971-08-06T13:44:28.000Z,251.2205,TG22A,49,0
1971-08-06T14:42:30.000Z,251.1905,TG22A,49,0
1971-08-06T14:42:30.000Z,251.3095,TG22B,97,0
1971-08-06T15:40:28.000Z,251.1905,TG22A,49,0
1971-08-06T15:40:28.000Z,251.3095,TG22B,97,0
1971-08-06T16:38:17.000Z,251.1905,TG22A,49,0
1971-08-06T16:38:17.000Z,251.3095,TG22B,97,0
1971-08-06T22:31:30.000Z,251.17849,TG22A,49,0
1971-08-06T22:31:30.000Z,251.30149,TG22B,97,0
1971-08-06T23:14:59.000Z,251.26248,TG22B,97,0
1971-08-06T23:14:59.000Z,251.13748,TG22A,49,0
1971-08-07T00:13:00.000Z,251.24449,TG22B,97,0
1971-08-07T00:13:00.000Z,251.11549,TG22A,49,0
1971-08-07T01:10:58.000Z,251.27799,TG22B,97,0
1971-08-07T01:10:58.000Z,251.14199,TG22A,49,0
1971-08-07T02:08:47.000Z,251.25199,TG22B,97,0
1971-08-07T02:08:47.000Z,251.10799,TG22A,49,0
1971-08-07T03:06:49.000Z,251.14397,TG22A,49,0
1971-08-07T03:06:49.000Z,251.29597,TG22B,97,0
1971-08-07T04:04:50.000Z,251.25949,TG22B,97,0
1971-08-07T04:04:50.000Z,251.10049,TG22A,49,0
1971-08-07T04:39:27.000Z,251.15699,TR22B,87,0
1971-08-07T04:39:27.000Z,250.88299,TR22A,59,0
1971-08-07T04:49:09.000Z,251.27197,TG22B,97,0
1971-08-07T04:49:09.000Z,251.10797,TG22A,49,0
1971-08-07T05:47:10.000Z,251.06599,TG22A,49,0
1971-08-07T05:47:10.000Z,251.23399,TG22B,97,0
1971-08-07T06:45:08.000Z,251.10397,TG22A,49,0
1971-08-07T06:45:08.000Z,251.27597,TG22B,97,0
1971-08-07T07:42:57.000Z,251.23649,TG22B,97,0
1971-08-07T07:42:57.000Z,251.06349,TG22A,49,0
1971-08-07T08:40:59.000Z,251.23699,TG22B,97,0
1971-08-07T08:40:59.000Z,251.06299,TG22A,49,0
1971-08-07T09:39:00.000Z,251.06349,TG22A,49,0
1971-08-07T09:39:00.000Z,251.23649,TG22B,97,0
1971-08-07T10:36:58.000Z,251.23599,TG22B,97,0
1971-08-07T10:36:58.000Z,251.06399,TG22A,49,0
1971-08-07T11:34:47.000Z,251.07447,TG22A,49,0
1971-08-07T11:34:47.000Z,251.24547,TG22B,97,0
1971-08-07T12:32:49.000Z,251.23449,TG22B,97,0
1971-08-07T12:32:49.000Z,251.06549,TG22A,49,0
1971-08-07T13:30:50.000Z,251.23349,TG22B,97,0
1971-08-07T13:30:50.000Z,251.06649,TG22A,49,0
1971-08-07T14:28:48.000Z,251.19199,TG22B,97,0
